HS_CODE,ITEM_DESC,PANEL,GROUP
84701000,"Electronic calculators capable of operation without an external source of electric power and pocket-size data recording, reproducing and displaying machines with calculating functions
Other electronic calculating machines:",CONSUMER ELECTRONICS,Calculators
84702100,Calculator Incorporating a printing device,CONSUMER ELECTRONICS,Calculators
84702900,Other Calculators,CONSUMER ELECTRONICS,Calculators
84703000,Other calculating machines,CONSUMER ELECTRONICS,Calculators
85068010,Button cell ,CONSUMER ELECTRONICS,Battery
85068090,Other cells,CONSUMER ELECTRONICS,Battery
85069000,Parts of cells,CONSUMER ELECTRONICS,Parts of Batteries
85165000,Microwave oven,CONSUMER ELECTRONICS,Microwave Oven
85192000,"Apparatus operated by coins, Bank notes, bank cads, tokens or by other means of  payment",CONSUMER ELECTRONICS,Audio / Video Machine
85198910,Audio Compact Disc Player,CONSUMER ELECTRONICS,Audio / Video Machine
85198920,Compact disc changer including mini disc player/laser disc player,CONSUMER ELECTRONICS,Audio / Video Machine
85198930,Time Code recorder,CONSUMER ELECTRONICS,Audio / Video Machine
85198940,MP3 Player,CONSUMER ELECTRONICS,Audio / Video Machine
85198990,Other Audio Players,CONSUMER ELECTRONICS,Audio / Video Machine
85211011,"PROFESSIONAL VIDEO TAPE RECORDING WITH 3/4 OR 1"" TAPE",CONSUMER ELECTRONICS,Audio / Video Machine
85211012,Video recorders Betacam/Betacam SP/Digital Betacam S-VHS/Digital-S (Cassette Type),CONSUMER ELECTRONICS,Audio / Video Machine
85211019,Other  video player (Cassette Type),CONSUMER ELECTRONICS,Audio / Video Machine
85211021,Professional video tape recorders with 3/4 or 1 tape,CONSUMER ELECTRONICS,Audio / Video Machine
85211022,Video recorders Betacam/Betacam SP/Digital Betacam S-VHS/Digital-S (Spool type),CONSUMER ELECTRONICS,Audio / Video Machine
85211029,Other video players (Spool type),CONSUMER ELECTRONICS,Audio / Video Machine
85211091,"Professional video tape recorders with 3/4 or 1 ""tape solid state or otherwise",CONSUMER ELECTRONICS,Audio / Video Machine
85211092,Video recorders Betacam/Betacam SP/Digital Betacam S-VHS/Digital-S,CONSUMER ELECTRONICS,Audio / Video Machine
85211099,Other Video Recorders,CONSUMER ELECTRONICS,Audio / Video Machine
85219010,VIDEO DUPLICATING SYSTEM WITH MASTER AND SLAVE CONTROL,CONSUMER ELECTRONICS,Audio / Video Machine
85219020,DIGITAL VIDEO DISC PLAYER (DVD Player),CONSUMER ELECTRONICS,Audio / Video Machine
85219090,Other DVD Players,CONSUMER ELECTRONICS,Audio / Video Machine
85221000,Pick-up cartridges.,CONSUMER ELECTRONICS,Parts of Sound recording / reproducing apparatus
85229000,Other parts of sound recording / reproducing apparatus,CONSUMER ELECTRONICS,Parts of Sound recording / reproducing apparatus
85232100,Cards incorporating a magnetic stripe,CONSUMER ELECTRONICS,Smart Cards
85232910,Audio cassettes,CONSUMER ELECTRONICS,Audio Video Storage Units
85232920,Video cassette,CONSUMER ELECTRONICS,Audio Video Storage Units
85232930,"Video magnetic tape including those in hubs and reels, rools, pancakes and jumbo rolls",CONSUMER ELECTRONICS,Audio Video Storage Units
85232940,"3/4"" and 1"" video cassettes",CONSUMER ELECTRONICS,Audio Video Storage Units
85232950,"1/2"" video cassettes suitable to work with betacam, betacam SP/M II and VHS type VCR",CONSUMER ELECTRONICS,Audio Video Storage Units
85232960,"Other video cassettes and tapes 3/4"" and 1"" video cassettes",CONSUMER ELECTRONICS,Audio Video Storage Units
85232970,All kinds of Magnetic discs,CONSUMER ELECTRONICS,Audio Video Storage Units
85232980,Other Cartridge tape.,CONSUMER ELECTRONICS,Audio Video Storage Units
85232990,Other tapes,CONSUMER ELECTRONICS,Audio Video Storage Units
85234110,Un recorded compact disc,CONSUMER ELECTRONICS,Audio Video Storage Units
85234120,Blank master disc,CONSUMER ELECTRONICS,Audio Video Storage Units
85234130,Blank Gramophone Records,CONSUMER ELECTRONICS,Audio Video Storage Units
85234140,Blank cartridge tape,CONSUMER ELECTRONICS,Audio Video Storage Units
85234150,"Blank 1/2"" Video Cassettes  ",CONSUMER ELECTRONICS,Audio Video Storage Units
85234160,Blank DVD,CONSUMER ELECTRONICS,Audio Video Storage Units
85234190,Other Blank Optical Media,CONSUMER ELECTRONICS,Audio Video Storage Units
85234910,Audio Compact Disc ,CONSUMER ELECTRONICS,Audio Video Storage Units
85234920,Video Compact Disc,CONSUMER ELECTRONICS,Audio Video Storage Units
85234930,Stampers for CD ,CONSUMER ELECTRONICS,Audio Video Storage Units
85234940,DVD,CONSUMER ELECTRONICS,Audio Video Storage Units
85234950,Gramophone Records,CONSUMER ELECTRONICS,Audio Video Storage Units
85234960,Cartridge tape,CONSUMER ELECTRONICS,Audio Video Storage Units
85234970,"1/2"" video cassettes ",CONSUMER ELECTRONICS,Audio Video Storage Units
85234990,Other Optical Media,CONSUMER ELECTRONICS,Audio Video Storage Units
85235100,Solid-state non-voltatile storage devices,CONSUMER ELECTRONICS,Audio Video Storage Units
85235210,SIM CARDS,CONSUMER ELECTRONICS,Smart Cards
85235220,MEMORY CARDS,CONSUMER ELECTRONICS,Smart Cards
85235290,Other Smart cards,CONSUMER ELECTRONICS,Smart Cards
85235910,Proximity  Cards,CONSUMER ELECTRONICS,Smart Cards
85235990,Other Proxmimity Cards,CONSUMER ELECTRONICS,Smart Cards
85238010,Gramophone records,CONSUMER ELECTRONICS,Audio Video Storage Units
85238030,Audio-visual news or audio visual views,CONSUMER ELECTRONICS,Audio Video Storage Units
85238040,Children's video films,CONSUMER ELECTRONICS,Audio Video Storage Units
85238050,Video tapes of educational nature,CONSUMER ELECTRONICS,Audio Video Storage Units
85238090,Other Video CD,CONSUMER ELECTRONICS,Audio Video Storage Units
85258020,Digital cameras,CONSUMER ELECTRONICS,Camera
85258030,Video cameras recorders,CONSUMER ELECTRONICS,Camera
85258090,Other (Video cameras recorders),CONSUMER ELECTRONICS,Camera
85271200,Pocket-size radio cassette players,CONSUMER ELECTRONICS,Two-in-one
85271300,Other apparatus combined with sound recording or reproducing apparatus,CONSUMER ELECTRONICS,Two-in-one
85271900,Other Radio battery operated,CONSUMER ELECTRONICS,Two-in-one
85272100,Car Stereo,CONSUMER ELECTRONICS,Two-in-one
85272900,Other Two-in-one with external source of power,CONSUMER ELECTRONICS,Two-in-one
85279100,Other Radios Combined with sound recording or reproducing apparatus,CONSUMER ELECTRONICS,Two-in-one
85279200,Other Radios Not combined with sound recording or reproducing apparatus but combined with a clock,CONSUMER ELECTRONICS,Radio Receivers
85287100,Television Reception apparatus Not designed to incorporate a video display or screen,CONSUMER ELECTRONICS,Television
85287211,Colour Television set of screen size upto 36 cm,CONSUMER ELECTRONICS,Television
85287212,Colour Television set of screen size exceeding 36 cm. but not exceeding 54 cm.,CONSUMER ELECTRONICS,Television
85287213,Colour Television set of screen size exceeding 54 cm but not exceeding 68 cm,CONSUMER ELECTRONICS,Television
85287214,Colour Television set of screen size exceeding 68 cm but not exceeding 74 cm,CONSUMER ELECTRONICS,Television
85287215,Colour Television set of screen size exceeding 74 cm but not exceeding 87 cm,CONSUMER ELECTRONICS,Television
85287216,Colour Television set of screen size exceeding 87 cm but not exceeding 105 cm,CONSUMER ELECTRONICS,Television
85287217,Colour Television set of screen size exceeding 105 cm,CONSUMER ELECTRONICS,Television
85287218,Liquid crystal display television set of screen size below 63 cm,CONSUMER ELECTRONICS,Television
85287219,Other Colour TV,CONSUMER ELECTRONICS,Television
85287300,"Other, black and white or other monochrome :",CONSUMER ELECTRONICS,Television
85311010,Burglar alarm,CONSUMER ELECTRONICS,Alarms
85311020,FIRE ALARM,CONSUMER ELECTRONICS,Alarms
85311090,OTHER alarms,CONSUMER ELECTRONICS,Alarms
85393110,Compact Flourescent Lamps (CFL),CONSUMER ELECTRONICS,CFL
85393190,Other Compact Flourescent Lamps (CFL),CONSUMER ELECTRONICS,CFL
85393910,Energy Efficient Triphosphor Fluorescent ,CONSUMER ELECTRONICS,CFL
91011100,Electrically operated wrist watches with mechanical display,CONSUMER ELECTRONICS,Watches and Clocks
91011900,Othe Electrically operatated wrist watches,CONSUMER ELECTRONICS,Watches and Clocks
91019110,Electrically operated Pocket watches,CONSUMER ELECTRONICS,Watches and Clocks
91019120,Electrically operated STOP WATCHES,CONSUMER ELECTRONICS,Watches and Clocks
91019190,Electrically operated OTHER WATCHES,CONSUMER ELECTRONICS,Watches and Clocks
91021100,Electrically operated Wrist Watches with mechnical display,CONSUMER ELECTRONICS,Watches and Clocks
91021200,Wrist Watches with opto-electronic display only,CONSUMER ELECTRONICS,Watches and Clocks
91029110,Electrically operated Pocket watches,CONSUMER ELECTRONICS,Watches and Clocks
91029120,Electrically operated Stop watches,CONSUMER ELECTRONICS,Watches and Clocks
91029190,Electrically operated other watches,CONSUMER ELECTRONICS,Watches and Clocks
91031000,Electrically operated clocks ,CONSUMER ELECTRONICS,Watches and Clocks
