REG_NAME,COUNTRY_NAME
NORTH AMERICA,UNITED STATES OF AMERICA
NORTH AMERICA,CANADA
NORTH AMERICA,BERMUDA
NORTH AMERICA,GREENLAND
NORTH AMERICA,ST.PIERRA & MIQUELON
LATIN AMERICA,CHILE
LATIN AMERICA,BRAZIL
LATIN AMERICA,CAYMAN ISLANDS
LATIN AMERICA,MEXICO
LATIN AMERICA,COLOMBIA
LATIN AMERICA,ARGENTINA
LATIN AMERICA,PUERTO RICO
LATIN AMERICA,PERU
LATIN AMERICA,TRINIDAD & TOBAGO
LATIN AMERICA,URUGUAY
LATIN AMERICA,BARBADOS
LATIN AMERICA,BAHAMAS
LATIN AMERICA,COSTA RICA
LATIN AMERICA,ECUADOR
LATIN AMERICA,JAMAICA
LATIN AMERICA,PANAMA
LATIN AMERICA,VENEZUELA
LATIN AMERICA,WEST INDIES
LATIN AMERICA,HAITI
LATIN AMERICA,DOMINICA
LATIN AMERICA,GUATEMALA
LATIN AMERICA,ST.LUCIA
LATIN AMERICA,DOMINICAN REPUBLIC
LATIN AMERICA,EL SALVADOR
LATIN AMERICA,HONDURAS
LATIN AMERICA,ANGULLA
LATIN AMERICA,ANTIGUA & BARBUDA
LATIN AMERICA,ARUBA
LATIN AMERICA,BELIZE
LATIN AMERICA,BOLIVIA
LATIN AMERICA,BRITISH VIRGIN ISLANDS
LATIN AMERICA,CUBA
LATIN AMERICA,FRENCH GUIANA
LATIN AMERICA,GRENADA
LATIN AMERICA,GUADELOUPE
LATIN AMERICA,GUYANA
LATIN AMERICA,LIECHTENSTEIN
LATIN AMERICA,MARTINIQUE
LATIN AMERICA,MONTSERRAT
LATIN AMERICA,NETHERLANDS ANTILLAS
LATIN AMERICA,NICARAGUA
LATIN AMERICA,PANAMA C Z
LATIN AMERICA,PARAGUAY
LATIN AMERICA,ST.CHIRSTOPHER & NEVIS
LATIN AMERICA,ST.HELENA
LATIN AMERICA,ST.KITT NEVISH BUILLA
LATIN AMERICA,ST.VINCENT/GRENDINES
LATIN AMERICA,SURINAM
LATIN AMERICA,TURKS & CAICOS IS.
LATIN AMERICA,VIRGIN IS US
EUROPE,UNITED KINGDOM
EUROPE,NETHERLANDS
EUROPE,GERMANY
EUROPE,FINLAND
EUROPE,FRANCE
EUROPE,SWEDEN
EUROPE,DENMARK
EUROPE,IRELAND
EUROPE,BELGIUM
EUROPE,ITALY
EUROPE,LUXEMBERG
EUROPE,HUNGARY
EUROPE,SPAIN
EUROPE,POLAND
EUROPE,AUSTRIA
EUROPE,CYPRUS
EUROPE,CZECH REPUBLIC
EUROPE,GREECE
EUROPE,PORTUGAL
EUROPE,SLOVAK REP
EUROPE,LITHUANIA
EUROPE,SLOVENIA
EUROPE,ESTONIA
EUROPE,LATVIA
EUROPE,MALTA
EUROPE,SERBIA MONTENEGRO
NON EU COUNTRIES,SWITZERLAND
NON EU COUNTRIES,NORWAY
NON EU COUNTRIES,GIBRALTAR
NON EU COUNTRIES,ROMANIA
NON EU COUNTRIES,BULGARIA
NON EU COUNTRIES,MONACO
NON EU COUNTRIES,SERBIA  
